Ticket_ID,System,Document,Severity,RCA_Category,Manual_Remediation,Timestamp,Business_Impact
INC-10192,Identity Access,Memory limit exceeded in Identity Access. Intermittent issue.,Critical,Resource,Scale up Identity Access instance,2026-01-10 19:00:00,2
INC-10193,Cloud Infrastructure,Connection timeout in Cloud Infrastructure. Intermittent issue.,High,Network/DB,Restart Cloud Infrastructure services,2026-03-19 02:00:00,1
INC-10194,Cloud Infrastructure,Access denied for user in Cloud Infrastructure. Reported by monitoring.,Medium,Permissions,Update IAM policy for Cloud Infrastructure,2026-03-26 20:00:00,4
INC-10195,Cloud Infrastructure,Latency spike in Cloud Infrastructure API. Reported by monitoring.,Low,Performance,Clear cache and monitor,2026-02-16 00:00:00,3
INC-10196,SAP ERP,Memory limit exceeded in SAP ERP. Intermittent issue.,Critical,Resource,Scale up SAP ERP instance,2026-03-06 21:00:00,2
INC-10197,Oracle DB,Access denied for user in Oracle DB. Urgent help needed.,Medium,Permissions,Update IAM policy for Oracle DB,2026-01-30 07:00:00,5
INC-10198,Cloud Infrastructure,Latency spike in Cloud Infrastructure API. Urgent help needed.,Low,Performance,Clear cache and monitor,2026-01-26 07:00:00,3
INC-10199,Oracle DB,Connection timeout in Oracle DB. Intermittent issue.,High,Network/DB,Restart Oracle DB services,2026-02-21 08:00:00,4
INC-10200,Oracle DB,Memory limit exceeded in Oracle DB. Urgent help needed.,Critical,Resource,Scale up Oracle DB instance,2026-02-23 02:00:00,1
INC-10201,Middleware,Data sync failure between Middleware and Middleware. Error code 504.,High,Sync Agent,Flush sync buffer,2026-01-01 23:00:00,3
INC-10202,Identity Access,Access denied for user in Identity Access. Error code 504.,Medium,Permissions,Update IAM policy for Identity Access,2026-01-18 19:00:00,1
INC-10203,SAP ERP,Latency spike in SAP ERP API. Intermittent issue.,Low,Performance,Clear cache and monitor,2026-02-25 18:00:00,4
INC-10204,SAP ERP,Data sync failure between SAP ERP and Middleware. Error code 504.,High,Sync Agent,Flush sync buffer,2026-01-26 01:00:00,4
INC-10205,Oracle DB,Connection timeout in Oracle DB. Error code 504.,High,Network/DB,Restart Oracle DB services,2026-02-08 12:00:00,2
INC-10206,Identity Access,Data sync failure between Identity Access and Middleware. Intermittent issue.,High,Sync Agent,Flush sync buffer,2026-03-02 17:00:00,5
INC-10207,SAP ERP,Memory limit exceeded in SAP ERP. Reported by monitoring.,Critical,Resource,Scale up SAP ERP instance,2026-02-08 10:00:00,1
INC-10208,Identity Access,Access denied for user in Identity Access. Error code 504.,Medium,Permissions,Update IAM policy for Identity Access,2026-01-02 06:00:00,2
INC-10209,Identity Access,Access denied for user in Identity Access. Error code 504.,Medium,Permissions,Update IAM policy for Identity Access,2026-03-12 10:00:00,5
INC-10210,Oracle DB,Memory limit exceeded in Oracle DB. Intermittent issue.,Critical,Resource,Scale up Oracle DB instance,2026-01-05 02:00:00,1
INC-10211,Cloud Infrastructure,Latency spike in Cloud Infrastructure API. Intermittent issue.,Low,Performance,Clear cache and monitor,2026-03-04 04:00:00,2
INC-10212,Oracle DB,Connection timeout in Oracle DB. Intermittent issue.,High,Network/DB,Restart Oracle DB services,2026-01-17 23:00:00,3
INC-10213,Middleware,Data sync failure between Middleware and Middleware. Reported by monitoring.,High,Sync Agent,Flush sync buffer,2026-02-16 11:00:00,2
INC-10214,Cloud Infrastructure,Access denied for user in Cloud Infrastructure. Urgent help needed.,Medium,Permissions,Update IAM policy for Cloud Infrastructure,2026-01-07 00:00:00,2
INC-10215,Identity Access,Memory limit exceeded in Identity Access. Reported by monitoring.,Critical,Resource,Scale up Identity Access instance,2026-03-26 21:00:00,4
INC-10216,Cloud Infrastructure,Data sync failure between Cloud Infrastructure and Middleware. Urgent help needed.,High,Sync Agent,Flush sync buffer,2026-02-05 18:00:00,4
INC-10217,Cloud Infrastructure,Latency spike in Cloud Infrastructure API. Intermittent issue.,Low,Performance,Clear cache and monitor,2026-03-02 14:00:00,1
INC-10218,Middleware,Memory limit exceeded in Middleware. Urgent help needed.,Critical,Resource,Scale up Middleware instance,2026-03-03 09:00:00,5
INC-10219,Middleware,Data sync failure between Middleware and Middleware. Intermittent issue.,High,Sync Agent,Flush sync buffer,2026-03-22 12:00:00,5
INC-10220,SAP ERP,Connection timeout in SAP ERP. Urgent help needed.,High,Network/DB,Restart SAP ERP services,2026-02-03 10:00:00,5
INC-10221,Cloud Infrastructure,Data sync failure between Cloud Infrastructure and Middleware. Urgent help needed.,High,Sync Agent,Flush sync buffer,2026-02-19 03:00:00,2
INC-10222,Middleware,Latency spike in Middleware API. Error code 504.,Low,Performance,Clear cache and monitor,2026-01-20 00:00:00,5
INC-10223,Cloud Infrastructure,Memory limit exceeded in Cloud Infrastructure. Urgent help needed.,Critical,Resource,Scale up Cloud Infrastructure instance,2026-02-06 06:00:00,4
INC-10224,SAP ERP,Data sync failure between SAP ERP and Middleware. Reported by monitoring.,High,Sync Agent,Flush sync buffer,2026-01-23 18:00:00,2
INC-10225,Oracle DB,Connection timeout in Oracle DB. Intermittent issue.,High,Network/DB,Restart Oracle DB services,2026-03-10 10:00:00,2
INC-10226,Identity Access,Access denied for user in Identity Access. Intermittent issue.,Medium,Permissions,Update IAM policy for Identity Access,2026-03-16 02:00:00,2
INC-10227,Cloud Infrastructure,Access denied for user in Cloud Infrastructure. Intermittent issue.,Medium,Permissions,Update IAM policy for Cloud Infrastructure,2026-03-10 05:00:00,4
INC-10228,Identity Access,Latency spike in Identity Access API. Error code 504.,Low,Performance,Clear cache and monitor,2026-02-24 14:00:00,5
INC-10229,Middleware,Access denied for user in Middleware. Error code 504.,Medium,Permissions,Update IAM policy for Middleware,2026-02-04 07:00:00,5
INC-10230,SAP ERP,Data sync failure between SAP ERP and Middleware. Error code 504.,High,Sync Agent,Flush sync buffer,2026-03-25 16:00:00,3
INC-10231,Oracle DB,Latency spike in Oracle DB API. Reported by monitoring.,Low,Performance,Clear cache and monitor,2026-03-17 02:00:00,2
INC-10232,Oracle DB,Memory limit exceeded in Oracle DB. Error code 504.,Critical,Resource,Scale up Oracle DB instance,2026-02-23 12:00:00,3
INC-10233,Cloud Infrastructure,Connection timeout in Cloud Infrastructure. Intermittent issue.,High,Network/DB,Restart Cloud Infrastructure services,2026-03-25 12:00:00,2
INC-10234,SAP ERP,Latency spike in SAP ERP API. Reported by monitoring.,Low,Performance,Clear cache and monitor,2026-01-18 18:00:00,4
INC-10235,Identity Access,Data sync failure between Identity Access and Middleware. Intermittent issue.,High,Sync Agent,Flush sync buffer,2026-03-01 22:00:00,2
INC-10236,Identity Access,Connection timeout in Identity Access. Error code 504.,High,Network/DB,Restart Identity Access services,2026-02-27 08:00:00,2
INC-10237,Oracle DB,Memory limit exceeded in Oracle DB. Urgent help needed.,Critical,Resource,Scale up Oracle DB instance,2026-01-02 04:00:00,4
INC-10238,SAP ERP,Access denied for user in SAP ERP. Reported by monitoring.,Medium,Permissions,Update IAM policy for SAP ERP,2026-02-26 09:00:00,2
INC-10239,Oracle DB,Connection timeout in Oracle DB. Urgent help needed.,High,Network/DB,Restart Oracle DB services,2026-03-09 16:00:00,1
INC-10240,Middleware,Memory limit exceeded in Middleware. Reported by monitoring.,Critical,Resource,Scale up Middleware instance,2026-02-01 07:00:00,3
INC-10241,SAP ERP,Access denied for user in SAP ERP. Intermittent issue.,Medium,Permissions,Update IAM policy for SAP ERP,2026-02-24 00:00:00,4
INC-10242,Middleware,Access denied for user in Middleware. Reported by monitoring.,Medium,Permissions,Update IAM policy for Middleware,2026-02-12 21:00:00,3
INC-10243,SAP ERP,Memory limit exceeded in SAP ERP. Reported by monitoring.,Critical,Resource,Scale up SAP ERP instance,2026-01-10 07:00:00,1
INC-10244,Oracle DB,Memory limit exceeded in Oracle DB. Urgent help needed.,Critical,Resource,Scale up Oracle DB instance,2026-02-21 21:00:00,1
INC-10245,Identity Access,Memory limit exceeded in Identity Access. Intermittent issue.,Critical,Resource,Scale up Identity Access instance,2026-01-30 22:00:00,1
INC-10246,Middleware,Memory limit exceeded in Middleware. Error code 504.,Critical,Resource,Scale up Middleware instance,2026-01-12 03:00:00,2
INC-10247,Middleware,Connection timeout in Middleware. Reported by monitoring.,High,Network/DB,Restart Middleware services,2026-03-10 12:00:00,4
INC-10248,Identity Access,Memory limit exceeded in Identity Access. Urgent help needed.,Critical,Resource,Scale up Identity Access instance,2026-01-13 08:00:00,2
INC-10249,SAP ERP,Connection timeout in SAP ERP. Reported by monitoring.,High,Network/DB,Restart SAP ERP services,2026-02-22 16:00:00,4
INC-10250,Oracle DB,Access denied for user in Oracle DB. Urgent help needed.,Medium,Permissions,Update IAM policy for Oracle DB,2026-03-22 06:00:00,3
INC-10251,Oracle DB,Connection timeout in Oracle DB. Intermittent issue.,High,Network/DB,Restart Oracle DB services,2026-01-07 15:00:00,2
INC-10252,Oracle DB,Memory limit exceeded in Oracle DB. Error code 504.,Critical,Resource,Scale up Oracle DB instance,2026-03-12 22:00:00,1
INC-10253,Middleware,Latency spike in Middleware API. Intermittent issue.,Low,Performance,Clear cache and monitor,2026-03-15 14:00:00,4
INC-10254,Oracle DB,Memory limit exceeded in Oracle DB. Error code 504.,Critical,Resource,Scale up Oracle DB instance,2026-02-25 21:00:00,5
INC-10255,Middleware,Access denied for user in Middleware. Reported by monitoring.,Medium,Permissions,Update IAM policy for Middleware,2026-02-02 07:00:00,2
INC-10256,Identity Access,Memory limit exceeded in Identity Access. Urgent help needed.,Critical,Resource,Scale up Identity Access instance,2026-01-31 10:00:00,4
INC-10257,SAP ERP,Memory limit exceeded in SAP ERP. Reported by monitoring.,Critical,Resource,Scale up SAP ERP instance,2026-02-03 22:00:00,3
INC-10258,Middleware,Latency spike in Middleware API. Intermittent issue.,Low,Performance,Clear cache and monitor,2026-02-20 15:00:00,2
INC-10259,Cloud Infrastructure,Connection timeout in Cloud Infrastructure. Urgent help needed.,High,Network/DB,Restart Cloud Infrastructure services,2026-02-18 21:00:00,5
INC-10260,Oracle DB,Connection timeout in Oracle DB. Intermittent issue.,High,Network/DB,Restart Oracle DB services,2026-03-07 12:00:00,5
INC-10261,SAP ERP,Connection timeout in SAP ERP. Urgent help needed.,High,Network/DB,Restart SAP ERP services,2026-02-22 14:00:00,5
INC-10262,Oracle DB,Access denied for user in Oracle DB. Error code 504.,Medium,Permissions,Update IAM policy for Oracle DB,2026-02-06 08:00:00,2
INC-10263,Cloud Infrastructure,Connection timeout in Cloud Infrastructure. Reported by monitoring.,High,Network/DB,Restart Cloud Infrastructure services,2026-02-10 04:00:00,4
INC-10264,Oracle DB,Memory limit exceeded in Oracle DB. Urgent help needed.,Critical,Resource,Scale up Oracle DB instance,2026-03-31 22:00:00,2
INC-10265,Cloud Infrastructure,Access denied for user in Cloud Infrastructure. Urgent help needed.,Medium,Permissions,Update IAM policy for Cloud Infrastructure,2026-02-08 17:00:00,5
INC-10266,Identity Access,Latency spike in Identity Access API. Reported by monitoring.,Low,Performance,Clear cache and monitor,2026-03-26 15:00:00,3
INC-10267,Oracle DB,Access denied for user in Oracle DB. Urgent help needed.,Medium,Permissions,Update IAM policy for Oracle DB,2026-02-07 04:00:00,2
INC-10268,Identity Access,Latency spike in Identity Access API. Reported by monitoring.,Low,Performance,Clear cache and monitor,2026-01-04 15:00:00,4
INC-10269,Middleware,Access denied for user in Middleware. Intermittent issue.,Medium,Permissions,Update IAM policy for Middleware,2026-01-07 23:00:00,3
INC-10270,Identity Access,Latency spike in Identity Access API. Reported by monitoring.,Low,Performance,Clear cache and monitor,2026-03-05 01:00:00,4
INC-10271,Identity Access,Memory limit exceeded in Identity Access. Reported by monitoring.,Critical,Resource,Scale up Identity Access instance,2026-03-04 08:00:00,2
INC-10272,Identity Access,Connection timeout in Identity Access. Reported by monitoring.,High,Network/DB,Restart Identity Access services,2026-02-14 11:00:00,1
INC-10273,Middleware,Connection timeout in Middleware. Reported by monitoring.,High,Network/DB,Restart Middleware services,2026-02-21 21:00:00,1
INC-10274,Middleware,Memory limit exceeded in Middleware. Intermittent issue.,Critical,Resource,Scale up Middleware instance,2026-01-06 02:00:00,1
INC-10275,Identity Access,Connection timeout in Identity Access. Urgent help needed.,High,Network/DB,Restart Identity Access services,2026-02-01 13:00:00,1
INC-10276,Identity Access,Data sync failure between Identity Access and Middleware. Intermittent issue.,High,Sync Agent,Flush sync buffer,2026-03-14 07:00:00,1
INC-10277,Oracle DB,Data sync failure between Oracle DB and Middleware. Error code 504.,High,Sync Agent,Flush sync buffer,2026-01-29 02:00:00,3
INC-10278,Identity Access,Latency spike in Identity Access API. Intermittent issue.,Low,Performance,Clear cache and monitor,2026-01-20 08:00:00,2
INC-10279,Identity Access,Data sync failure between Identity Access and Middleware. Reported by monitoring.,High,Sync Agent,Flush sync buffer,2026-01-10 20:00:00,1
INC-10280,Oracle DB,Data sync failure between Oracle DB and Middleware. Error code 504.,High,Sync Agent,Flush sync buffer,2026-01-24 07:00:00,2
INC-10281,Oracle DB,Access denied for user in Oracle DB. Intermittent issue.,Medium,Permissions,Update IAM policy for Oracle DB,2026-02-24 19:00:00,4
INC-10282,Middleware,Memory limit exceeded in Middleware. Reported by monitoring.,Critical,Resource,Scale up Middleware instance,2026-02-04 08:00:00,2
INC-10283,Oracle DB,Data sync failure between Oracle DB and Middleware. Urgent help needed.,High,Sync Agent,Flush sync buffer,2026-01-29 06:00:00,3
INC-10284,SAP ERP,Latency spike in SAP ERP API. Urgent help needed.,Low,Performance,Clear cache and monitor,2026-03-09 19:00:00,2
INC-10285,Middleware,Latency spike in Middleware API. Intermittent issue.,Low,Performance,Clear cache and monitor,2026-02-15 17:00:00,5
INC-10286,SAP ERP,Access denied for user in SAP ERP. Reported by monitoring.,Medium,Permissions,Update IAM policy for SAP ERP,2026-03-07 13:00:00,3
INC-10287,Identity Access,Data sync failure between Identity Access and Middleware. Reported by monitoring.,High,Sync Agent,Flush sync buffer,2026-01-08 20:00:00,5
INC-10288,Oracle DB,Latency spike in Oracle DB API. Reported by monitoring.,Low,Performance,Clear cache and monitor,2026-03-25 15:00:00,3
INC-10289,Middleware,Latency spike in Middleware API. Reported by monitoring.,Low,Performance,Clear cache and monitor,2026-02-12 20:00:00,2
INC-10290,Middleware,Memory limit exceeded in Middleware. Reported by monitoring.,Critical,Resource,Scale up Middleware instance,2026-01-12 17:00:00,3
INC-10291,Cloud Infrastructure,Connection timeout in Cloud Infrastructure. Urgent help needed.,High,Network/DB,Restart Cloud Infrastructure services,2026-01-04 05:00:00,3
INC-10292,Middleware,Memory limit exceeded in Middleware. Reported by monitoring.,Critical,Resource,Scale up Middleware instance,2026-03-29 22:00:00,5
INC-10293,Identity Access,Access denied for user in Identity Access. Reported by monitoring.,Medium,Permissions,Update IAM policy for Identity Access,2026-03-19 15:00:00,5
INC-10294,Middleware,Memory limit exceeded in Middleware. Intermittent issue.,Critical,Resource,Scale up Middleware instance,2026-02-20 21:00:00,3
INC-10295,Cloud Infrastructure,Data sync failure between Cloud Infrastructure and Middleware. Reported by monitoring.,High,Sync Agent,Flush sync buffer,2026-01-07 07:00:00,3
INC-10296,Cloud Infrastructure,Memory limit exceeded in Cloud Infrastructure. Urgent help needed.,Critical,Resource,Scale up Cloud Infrastructure instance,2026-02-07 13:00:00,2
INC-10297,Oracle DB,Latency spike in Oracle DB API. Intermittent issue.,Low,Performance,Clear cache and monitor,2026-02-23 19:00:00,4
INC-10298,Middleware,Data sync failure between Middleware and Middleware. Error code 504.,High,Sync Agent,Flush sync buffer,2026-02-05 04:00:00,1
INC-10299,Middleware,Data sync failure between Middleware and Middleware. Reported by monitoring.,High,Sync Agent,Flush sync buffer,2026-02-04 16:00:00,1
INC-10300,SAP ERP,Memory limit exceeded in SAP ERP. Reported by monitoring.,Critical,Resource,Scale up SAP ERP instance,2026-01-08 21:00:00,4
INC-10301,Oracle DB,Memory limit exceeded in Oracle DB. Urgent help needed.,Critical,Resource,Scale up Oracle DB instance,2026-03-06 12:00:00,3
INC-10302,Cloud Infrastructure,Access denied for user in Cloud Infrastructure. Error code 504.,Medium,Permissions,Update IAM policy for Cloud Infrastructure,2026-02-21 04:00:00,5
INC-10303,Oracle DB,Connection timeout in Oracle DB. Error code 504.,High,Network/DB,Restart Oracle DB services,2026-03-20 23:00:00,5
INC-10304,Oracle DB,Connection timeout in Oracle DB. Reported by monitoring.,High,Network/DB,Restart Oracle DB services,2026-02-03 13:00:00,2
INC-10305,Identity Access,Memory limit exceeded in Identity Access. Reported by monitoring.,Critical,Resource,Scale up Identity Access instance,2026-01-17 08:00:00,4
INC-10306,Middleware,Data sync failure between Middleware and Middleware. Intermittent issue.,High,Sync Agent,Flush sync buffer,2026-02-02 16:00:00,2
INC-10307,Middleware,Access denied for user in Middleware. Reported by monitoring.,Medium,Permissions,Update IAM policy for Middleware,2026-03-01 03:00:00,3
INC-10308,Middleware,Connection timeout in Middleware. Reported by monitoring.,High,Network/DB,Restart Middleware services,2026-02-27 08:00:00,1
INC-10309,Middleware,Latency spike in Middleware API. Reported by monitoring.,Low,Performance,Clear cache and monitor,2026-03-17 03:00:00,3
INC-10310,SAP ERP,Memory limit exceeded in SAP ERP. Intermittent issue.,Critical,Resource,Scale up SAP ERP instance,2026-02-05 06:00:00,3
INC-10311,Middleware,Access denied for user in Middleware. Intermittent issue.,Medium,Permissions,Update IAM policy for Middleware,2026-02-04 05:00:00,4
INC-10312,Identity Access,Data sync failure between Identity Access and Middleware. Error code 504.,High,Sync Agent,Flush sync buffer,2026-03-18 14:00:00,3
INC-10313,SAP ERP,Data sync failure between SAP ERP and Middleware. Error code 504.,High,Sync Agent,Flush sync buffer,2026-02-07 09:00:00,4
INC-10314,Oracle DB,Latency spike in Oracle DB API. Reported by monitoring.,Low,Performance,Clear cache and monitor,2026-02-01 04:00:00,1
INC-10315,Middleware,Connection timeout in Middleware. Error code 504.,High,Network/DB,Restart Middleware services,2026-03-30 05:00:00,3
INC-10316,Middleware,Memory limit exceeded in Middleware. Urgent help needed.,Critical,Resource,Scale up Middleware instance,2026-03-15 16:00:00,5
INC-10317,Middleware,Connection timeout in Middleware. Urgent help needed.,High,Network/DB,Restart Middleware services,2026-03-16 21:00:00,4
INC-10318,Identity Access,Data sync failure between Identity Access and Middleware. Urgent help needed.,High,Sync Agent,Flush sync buffer,2026-03-14 05:00:00,2
INC-10319,Oracle DB,Memory limit exceeded in Oracle DB. Urgent help needed.,Critical,Resource,Scale up Oracle DB instance,2026-01-30 10:00:00,2
INC-10320,SAP ERP,Access denied for user in SAP ERP. Reported by monitoring.,Medium,Permissions,Update IAM policy for SAP ERP,2026-03-24 14:00:00,1
INC-10321,Identity Access,Data sync failure between Identity Access and Middleware. Reported by monitoring.,High,Sync Agent,Flush sync buffer,2026-03-25 10:00:00,1
INC-10322,Oracle DB,Connection timeout in Oracle DB. Urgent help needed.,High,Network/DB,Restart Oracle DB services,2026-03-18 09:00:00,3
INC-10323,Identity Access,Connection timeout in Identity Access. Intermittent issue.,High,Network/DB,Restart Identity Access services,2026-02-05 22:00:00,5
INC-10324,Oracle DB,Data sync failure between Oracle DB and Middleware. Error code 504.,High,Sync Agent,Flush sync buffer,2026-02-23 22:00:00,2
INC-10325,SAP ERP,Connection timeout in SAP ERP. Error code 504.,High,Network/DB,Restart SAP ERP services,2026-03-15 12:00:00,2
INC-10326,SAP ERP,Memory limit exceeded in SAP ERP. Urgent help needed.,Critical,Resource,Scale up SAP ERP instance,2026-01-08 18:00:00,1
INC-10327,Middleware,Memory limit exceeded in Middleware. Reported by monitoring.,Critical,Resource,Scale up Middleware instance,2026-03-04 04:00:00,1
INC-10328,SAP ERP,Memory limit exceeded in SAP ERP. Reported by monitoring.,Critical,Resource,Scale up SAP ERP instance,2026-02-24 20:00:00,3
INC-10329,Middleware,Latency spike in Middleware API. Reported by monitoring.,Low,Performance,Clear cache and monitor,2026-01-25 18:00:00,4
INC-10330,Identity Access,Memory limit exceeded in Identity Access. Reported by monitoring.,Critical,Resource,Scale up Identity Access instance,2026-02-06 15:00:00,2
INC-10331,Oracle DB,Latency spike in Oracle DB API. Error code 504.,Low,Performance,Clear cache and monitor,2026-01-21 07:00:00,5
INC-10332,Cloud Infrastructure,Latency spike in Cloud Infrastructure API. Error code 504.,Low,Performance,Clear cache and monitor,2026-01-10 09:00:00,2
INC-10333,Middleware,Connection timeout in Middleware. Intermittent issue.,High,Network/DB,Restart Middleware services,2026-02-06 07:00:00,2
INC-10334,Cloud Infrastructure,Connection timeout in Cloud Infrastructure. Error code 504.,High,Network/DB,Restart Cloud Infrastructure services,2026-01-23 05:00:00,1
INC-10335,Middleware,Latency spike in Middleware API. Reported by monitoring.,Low,Performance,Clear cache and monitor,2026-01-24 02:00:00,1
INC-10336,Identity Access,Memory limit exceeded in Identity Access. Urgent help needed.,Critical,Resource,Scale up Identity Access instance,2026-02-04 07:00:00,1
INC-10337,Oracle DB,Memory limit exceeded in Oracle DB. Reported by monitoring.,Critical,Resource,Scale up Oracle DB instance,2026-03-06 10:00:00,1
INC-10338,SAP ERP,Connection timeout in SAP ERP. Intermittent issue.,High,Network/DB,Restart SAP ERP services,2026-01-23 07:00:00,3
INC-10339,Oracle DB,Connection timeout in Oracle DB. Reported by monitoring.,High,Network/DB,Restart Oracle DB services,2026-03-04 07:00:00,2
INC-10340,Middleware,Latency spike in Middleware API. Urgent help needed.,Low,Performance,Clear cache and monitor,2026-01-29 20:00:00,2
INC-10341,Middleware,Data sync failure between Middleware and Middleware. Reported by monitoring.,High,Sync Agent,Flush sync buffer,2026-01-16 06:00:00,1
INC-10342,Identity Access,Memory limit exceeded in Identity Access. Urgent help needed.,Critical,Resource,Scale up Identity Access instance,2026-01-25 16:00:00,2
INC-10343,SAP ERP,Memory limit exceeded in SAP ERP. Urgent help needed.,Critical,Resource,Scale up SAP ERP instance,2026-03-09 17:00:00,4
INC-10344,Cloud Infrastructure,Latency spike in Cloud Infrastructure API. Error code 504.,Low,Performance,Clear cache and monitor,2026-01-03 04:00:00,4
INC-10345,SAP ERP,Memory limit exceeded in SAP ERP. Intermittent issue.,Critical,Resource,Scale up SAP ERP instance,2026-01-07 17:00:00,1
INC-10346,Identity Access,Memory limit exceeded in Identity Access. Intermittent issue.,Critical,Resource,Scale up Identity Access instance,2026-03-05 10:00:00,5
INC-10347,Identity Access,Access denied for user in Identity Access. Intermittent issue.,Medium,Permissions,Update IAM policy for Identity Access,2026-03-03 02:00:00,5
INC-10348,Identity Access,Memory limit exceeded in Identity Access. Intermittent issue.,Critical,Resource,Scale up Identity Access instance,2026-03-30 00:00:00,4
INC-10349,Oracle DB,Access denied for user in Oracle DB. Reported by monitoring.,Medium,Permissions,Update IAM policy for Oracle DB,2026-03-26 05:00:00,5
INC-10350,Cloud Infrastructure,Connection timeout in Cloud Infrastructure. Urgent help needed.,High,Network/DB,Restart Cloud Infrastructure services,2026-01-16 01:00:00,4
INC-10351,Cloud Infrastructure,Data sync failure between Cloud Infrastructure and Middleware. Error code 504.,High,Sync Agent,Flush sync buffer,2026-03-01 15:00:00,5
INC-10352,Middleware,Data sync failure between Middleware and Middleware. Intermittent issue.,High,Sync Agent,Flush sync buffer,2026-02-26 10:00:00,3
INC-10353,Identity Access,Access denied for user in Identity Access. Error code 504.,Medium,Permissions,Update IAM policy for Identity Access,2026-02-26 01:00:00,1
INC-10354,SAP ERP,Access denied for user in SAP ERP. Urgent help needed.,Medium,Permissions,Update IAM policy for SAP ERP,2026-02-13 15:00:00,3
INC-10355,Oracle DB,Latency spike in Oracle DB API. Error code 504.,Low,Performance,Clear cache and monitor,2026-03-12 02:00:00,3
INC-10356,Oracle DB,Latency spike in Oracle DB API. Urgent help needed.,Low,Performance,Clear cache and monitor,2026-03-05 17:00:00,2
INC-10357,Middleware,Access denied for user in Middleware. Error code 504.,Medium,Permissions,Update IAM policy for Middleware,2026-02-27 04:00:00,5
INC-10358,Middleware,Memory limit exceeded in Middleware. Urgent help needed.,Critical,Resource,Scale up Middleware instance,2026-03-26 05:00:00,4
INC-10359,SAP ERP,Access denied for user in SAP ERP. Intermittent issue.,Medium,Permissions,Update IAM policy for SAP ERP,2026-01-09 20:00:00,5
INC-10360,Cloud Infrastructure,Connection timeout in Cloud Infrastructure. Intermittent issue.,High,Network/DB,Restart Cloud Infrastructure services,2026-03-22 16:00:00,4
INC-10361,Identity Access,Memory limit exceeded in Identity Access. Urgent help needed.,Critical,Resource,Scale up Identity Access instance,2026-01-05 02:00:00,3
INC-10362,Oracle DB,Access denied for user in Oracle DB. Error code 504.,Medium,Permissions,Update IAM policy for Oracle DB,2026-01-08 04:00:00,4
INC-10363,Middleware,Access denied for user in Middleware. Reported by monitoring.,Medium,Permissions,Update IAM policy for Middleware,2026-03-19 19:00:00,4
INC-10364,Middleware,Data sync failure between Middleware and Middleware. Reported by monitoring.,High,Sync Agent,Flush sync buffer,2026-02-18 11:00:00,5
INC-10365,Middleware,Access denied for user in Middleware. Reported by monitoring.,Medium,Permissions,Update IAM policy for Middleware,2026-02-06 16:00:00,5
INC-10366,Identity Access,Access denied for user in Identity Access. Error code 504.,Medium,Permissions,Update IAM policy for Identity Access,2026-03-25 10:00:00,1
INC-10367,Identity Access,Memory limit exceeded in Identity Access. Urgent help needed.,Critical,Resource,Scale up Identity Access instance,2026-01-11 03:00:00,2
INC-10368,Cloud Infrastructure,Access denied for user in Cloud Infrastructure. Urgent help needed.,Medium,Permissions,Update IAM policy for Cloud Infrastructure,2026-02-02 11:00:00,4
INC-10369,SAP ERP,Connection timeout in SAP ERP. Urgent help needed.,High,Network/DB,Restart SAP ERP services,2026-01-21 22:00:00,4
INC-10370,Identity Access,Memory limit exceeded in Identity Access. Reported by monitoring.,Critical,Resource,Scale up Identity Access instance,2026-01-09 22:00:00,2
INC-10371,Middleware,Data sync failure between Middleware and Middleware. Error code 504.,High,Sync Agent,Flush sync buffer,2026-01-09 07:00:00,3
INC-10372,SAP ERP,Data sync failure between SAP ERP and Middleware. Error code 504.,High,Sync Agent,Flush sync buffer,2026-01-06 21:00:00,4
INC-10373,Oracle DB,Memory limit exceeded in Oracle DB. Intermittent issue.,Critical,Resource,Scale up Oracle DB instance,2026-03-23 13:00:00,1
INC-10374,SAP ERP,Data sync failure between SAP ERP and Middleware. Intermittent issue.,High,Sync Agent,Flush sync buffer,2026-03-04 20:00:00,1
INC-10375,Cloud Infrastructure,Access denied for user in Cloud Infrastructure. Error code 504.,Medium,Permissions,Update IAM policy for Cloud Infrastructure,2026-03-23 18:00:00,3
INC-10376,Oracle DB,Access denied for user in Oracle DB. Urgent help needed.,Medium,Permissions,Update IAM policy for Oracle DB,2026-03-13 01:00:00,1
INC-10377,SAP ERP,Memory limit exceeded in SAP ERP. Reported by monitoring.,Critical,Resource,Scale up SAP ERP instance,2026-02-25 05:00:00,5
INC-10378,Cloud Infrastructure,Memory limit exceeded in Cloud Infrastructure. Error code 504.,Critical,Resource,Scale up Cloud Infrastructure instance,2026-03-27 11:00:00,1
INC-10379,Oracle DB,Connection timeout in Oracle DB. Reported by monitoring.,High,Network/DB,Restart Oracle DB services,2026-01-04 23:00:00,4
INC-10380,Middleware,Memory limit exceeded in Middleware. Intermittent issue.,Critical,Resource,Scale up Middleware instance,2026-01-16 11:00:00,1
INC-10381,Identity Access,Data sync failure between Identity Access and Middleware. Reported by monitoring.,High,Sync Agent,Flush sync buffer,2026-01-02 07:00:00,5
INC-10382,Cloud Infrastructure,Memory limit exceeded in Cloud Infrastructure. Intermittent issue.,Critical,Resource,Scale up Cloud Infrastructure instance,2026-03-25 15:00:00,4
INC-10383,SAP ERP,Memory limit exceeded in SAP ERP. Error code 504.,Critical,Resource,Scale up SAP ERP instance,2026-01-24 17:00:00,3
